Name	Alternate name	Alternate name 2	RA 2000 (h:m:s)	DEC 2000 (d:m:s)	SuBr	Radial velocity (km/sec)	hrv error	galaxy type	Remarks
UGC 2761			03 30 09.97	+38 27 09.6		6131	27		Elongated.
NGC 1335			03 30 19.49	+41 34 21.9		5442	94		Fairly small and dim.
UGC 2764	PGC 13039		03 30 44.09	+42 01 11.6					
UGC 2766	MCG+7-8-21	PGC 13051	03 30 56.76	+40 48 30.0					
MCG+6-8-27	CGCG 525-39	PGC 13061	03 31 08.50	+39 37 46.0		6586	28		
UGC 2769	PGC 13080		03 31 14.02	+42 47 32.2					
UGC 2771			03 31 23.70	+39 44 30.0		5989	20		
UGC 2775	MCG+7-8-24	PGC 13113	03 32 05.62	+41 35 29.0		4400	6		
UGC 2777	PGC 13141		03 32 37.72	+40 19 15.3					
MCG+7-8-25	PGC 13170		03 33 22.58	+40 09 47.4					
PGC 13213	V Zw 353		03 34 15.73	+40 54 23.4					
UGC 2783			03 34 18.43	+39 21 24.6		6173	20		Visible with direct vision. Locally the brightest.
UGC 2784			03 34 19.48	+39 32 44.7		6088	31		Visible with direct vision. Circular.
CGCG 525-043			03 34 19.56	+39 35 38.2		5429	16		Small and elongated.
UGC 2785	PGC 13225		03 34 21.91	+40 55 09.5		4941	20		
UGC 2787	PGC 13246		03 34 46.96	+41 19 37.6		5882	17		
UGC 2790	PGC 13271		03 35 15.51	+41 19 56.7					
UGC 2791	PGC 13280		03 35 28.00	+41 25 24.0		5679	17		
UGC 2798			03 38 09.97	+40 58 59.1		4941	11		Elongated.
UGC 2801			03 38 19.79	+41 17 33.8		4975	12		
UGC 2805			03 38 51.82	+40 59 25.9		6034	7		
MCG +7-8-28	CGCG 541-024		03 39 37.10	+41 05 01.4		4739	35		
			03 12 47.25	+41 49 13.6	21.2			E?	
			03 12 49.60	+42 25 41.0	21.9			S	
			03 12 51.19	+41 22 33.3	21.1			E	
			03 12 51.47	+42 40 41.1	21.4			SB	
			03 12 56.41	+40 59 36.9	21.8			S(B?)	
			03 12 57.69	+41 11 04.5	21.7			?	
UGC 2590			03 13 03.19	+42 27 24.0	19.3	4719	94	E	
			03 13 04.17	+42 16 52.8	23.1			Irr?	
			03 13 04.64	+42 20 39.7	20.9			S	
			03 13 06.02	+40 51 33.5	22.3			?	
			03 13 07.02	+42 26 13.5	21.1			S	
UGC 2591			03 13 08.40	+42 46 51.0	21.1			SB	
			03 13 08.77	+42 12 23.1	21.8			E	
			03 13 11.10	+40 04 46.0	22.6			Irr?	
NPM +40.0070			03 13 14.68	+40 57 44.1	20.5			Sa/S0?	
			03 13 16.82	+42 23 06.6	21			Sa	
			03 13 17.82	+42 17 25.1	22.7			S+S	
			03 13 18.44	+41 27 56.9	22.8			?	
			03 13 26.97	+42 11 07.9	22.5			S?	
